video,resolution,duration,fps
P01_01,1920x1080,1652.152817,59.9400599400599
P01_02,1920x1080,502.134967,59.9400599400599
P01_03,1920x1080,118.852067,59.9400599400599
P01_04,1920x1080,105.238467,59.9400599400599
P01_05,1920x1080,1271.988033,59.9400599400599
P01_06,1920x1080,492.225067,59.9400599400599
P01_07,1920x1080,161.394567,59.9400599400599
P01_08,1920x1080,98.965533,59.9400599400599
P01_09,1920x1080,3571.068150,59.9400599400599
P01_10,1920x1080,139.038900,59.9400599400599
P01_11,1920x1080,561.527633,59.9400599400599
P01_12,1920x1080,173.806967,59.9400599400599
P01_13,1920x1080,93.760333,59.9400599400599
P01_14,1920x1080,1352.585217,59.9400599400599
P01_15,1920x1080,924.957367,59.9400599400599
P01_16,1920x1080,174.624450,59.9400599400599
P01_17,1920x1080,1153.119283,59.9400599400599
P01_18,1920x1080,3692.672967,59.9400599400599
P01_19,1920x1080,477.977500,59.9400599400599
P02_01,1920x1080,232.982750,59.9400599400599
P02_02,1920x1080,207.040167,59.9400599400599
P02_03,1920x1080,1252.184917,59.9400599400599
P02_04,1920x1080,422.388633,59.9400599400599
P02_05,1920x1080,18.551867,59.9400599400599
P02_06,1920x1080,1035.551183,59.9400599400599
P02_07,1920x1080,108.575133,59.9400599400599
P02_08,1920x1080,66.966900,59.9400599400599
P02_09,1920x1080,2199.849967,59.9400599400599
P02_10,1920x1080,48.748700,59.9400599400599
P02_11,1920x1080,54.087367,59.9400599400599
P02_12,1920x1080,1315.333000,59.9400599400599
P02_13,1920x1080,29.512817,59.9400599400599
P02_14,1920x1080,32.198833,59.9400599400599
P02_15,1920x1080,94.027267,59.9400599400599
P03_02,1920x1080,426.609517,59.9400599400599
P03_03,1920x1080,70.987583,59.9400599400599
P03_04,1920x1080,1670.754733,59.9400599400599
P03_05,1920x1080,224.324100,59.9400599400599
P03_06,1920x1080,109.125683,59.9400599400599
P03_07,1920x1080,107.207100,59.9400599400599
P03_08,1920x1080,29.429400,59.9400599400599
P03_09,1920x1080,626.042083,59.9400599400599
P03_10,1920x1080,102.769333,59.9400599400599
P03_11,1920x1080,52.635917,59.9400599400599
P03_12,1920x1080,21.571550,59.9400599400599
P03_13,1920x1080,55.972583,59.9400599400599
P03_14,1920x1080,260.076483,59.9400599400599
P03_15,1920x1080,10.477133,59.9400599400599
P03_16,1920x1080,271.688083,59.9400599400599
P03_17,1920x1080,148.848700,59.9400599400599
P03_18,1920x1080,24.224200,59.9400599400599
P03_19,1920x1080,550.349800,59.9400599400599
P03_20,1920x1080,360.610250,59.9400599400599
P03_21,1920x1080,31.898533,59.9400599400599
P03_22,1920x1080,61.344617,59.9400599400599
P03_23,1920x1080,509.642467,59.9400599400599
P03_24,1920x1080,821.787633,59.9400599400599
P03_25,1920x1080,37.187150,59.9400599400599
P03_26,1920x1080,11.127783,59.9400599400599
P03_27,1920x1080,97.147050,59.9400599400599
P03_28,1920x1080,85.535450,59.9400599400599
P04_01,1920x1080,1154.772600,59.9400599400599
P04_02,1920x1080,1437.621833,59.9400599400599
P04_03,1920x1080,801.817683,59.9400599400599
P04_04,1920x1080,858.140617,59.9400599400599
P04_05,1920x1080,2068.700617,59.9400599400599
P04_06,1920x1080,788.254133,59.9400599400599
P04_07,1920x1080,122.956167,59.9400599400599
P04_08,1920x1080,82.682600,59.9400599400599
P04_09,1920x1080,411.377633,59.9400599400599
P04_10,1920x1080,1141.759600,59.9400599400599
P04_11,1920x1080,241.357783,59.9400599400599
P04_12,1920x1080,160.627133,59.9400599400599
P04_13,1920x1080,314.263950,59.9400599400599
P04_14,1920x1080,87.704283,59.9400599400599
P04_15,1920x1080,24.858167,59.9400599400599
P04_16,1920x1080,217.033483,59.9400599400599
P04_17,1920x1080,147.780967,59.9400599400599
P04_18,1920x1080,124.791333,59.9400599400599
P04_19,1920x1080,15.515500,59.9400599400599
P04_20,1920x1080,92.142050,59.9400599400599
P04_21,1920x1080,197.146950,59.9400599400599
P04_22,1920x1080,171.371200,59.9400599400599
P04_23,1920x1080,998.647650,59.9400599400599
P04_24,1920x1080,502.051550,59.9400599400599
P04_25,1920x1080,381.514467,59.9400599400599
P04_26,1920x1080,36.886850,59.9400599400599
P04_27,1920x1080,104.821383,59.9400599400599
P04_28,1920x1080,158.491667,59.9400599400599
